word,location,hits
morriña,Mexico,9
morriña,Venezuela,7
morriña,United Kingdom,1
kelema,Indonesia,100
kelema,Turkey,16
hoppilandkalle,Sweden,100
eudaimonia,Philippines,100
eudaimonia,Uruguay,44
eudaimonia,Colombia,36
eudaimonia,Guatemala,32
eudaimonia,Singapore,31
eudaimonia,Chile,31
eudaimonia,Ecuador,29
eudaimonia,Brazil,28
eudaimonia,Norway,28
eudaimonia,Argentina,27
eudaimonia,Hong Kong,27
eudaimonia,United States,24
eudaimonia,Italy,24
eudaimonia,New Zealand,24
eudaimonia,Australia,23
eudaimonia,Denmark,23
eudaimonia,South Africa,22
eudaimonia,Finland,22
eudaimonia,Spain,21
eudaimonia,Mexico,21
eudaimonia,Canada,20
eudaimonia,United Kingdom,19
eudaimonia,Peru,19
eudaimonia,Croatia,18
eudaimonia,Germany,15
eudaimonia,Ireland,14
eudaimonia,Austria,14
eudaimonia,Sweden,12
eudaimonia,Switzerland,12
eudaimonia,Belgium,12
eudaimonia,Netherlands,11
eudaimonia,Poland,9
eudaimonia,Portugal,9
eudaimonia,Romania,9
eudaimonia,Taiwan,9
eudaimonia,United Arab Emirates,9
eudaimonia,Greece,9
eudaimonia,Czechia,9
eudaimonia,South Korea,8
eudaimonia,Pakistan,7
eudaimonia,India,6
eudaimonia,Malaysia,6
eudaimonia,Venezuela,6
eudaimonia,Indonesia,5
eudaimonia,Turkey,5
eudaimonia,Thailand,3
eudaimonia,France,2
eudaimonia,Russia,1
latah,Indonesia,100
latah,Malaysia,51
latah,United States,30
latah,Singapore,10
latah,Poland,5
latah,Pakistan,4
latah,Canada,2
latah,Philippines,2
latah,United Kingdom,1
latah,India,1
latah,Germany,1
frustfressen,Germany,100
andria,Italy,100
andria,Georgia,17
andria,Cyprus,14
andria,Philippines,3
andria,Algeria,2
andria,Greece,2
andria,Romania,2
andria,United States,1
andria,Switzerland,1
andria,Canada,1
andria,India,1
andria,Spain,1
andria,South Africa,1
andria,Indonesia,1
andria,United Kingdom,1
andria,Germany,1
andria,France,1
andria,Egypt,1
andria,Belgium,1
andria,Australia,1
andria,Malaysia,1
andria,Sweden,1
andria,Brazil,1
andria,Netherlands,1
sobremesa,Brazil,100
sobremesa,Portugal,73
sobremesa,Mozambique,59
sobremesa,Angola,44
sobremesa,Spain,43
sobremesa,Chile,6
sobremesa,Switzerland,3
sobremesa,Colombia,2
sobremesa,Pakistan,2
sobremesa,Mexico,2
sobremesa,Peru,2
sobremesa,Argentina,2
numinous,United Kingdom,100
numinous,New Zealand,63
numinous,Ireland,62
numinous,Australia,57
numinous,United States,56
numinous,Canada,54
numinous,Singapore,36
numinous,Philippines,32
numinous,South Africa,32
numinous,Finland,19
numinous,India,15
numinous,Denmark,15
numinous,Sweden,14
numinous,Netherlands,13
numinous,Nigeria,10
numinous,Indonesia,9
numinous,Belgium,8
numinous,Germany,6
numinous,Poland,5
numinous,Italy,4
numinous,France,3
numinous,Japan,3
numinous,Brazil,1
arigata-meiwaku,United States,100
gulugulu,Hong Kong,100
gulugulu,Greece,53
gulugulu,Bangladesh,30
gulugulu,Indonesia,24
gulugulu,Malaysia,15
gulugulu,Philippines,14
gulugulu,Vietnam,11
gulugulu,Turkey,11
gulugulu,Japan,9
gulugulu,Spain,9
gulugulu,Hungary,9
gulugulu,Romania,8
gulugulu,Colombia,7
gulugulu,India,7
gulugulu,Serbia,6
gulugulu,Germany,6
gulugulu,Poland,5
gulugulu,Mexico,4
gulugulu,Italy,4
gulugulu,Brazil,3
gulugulu,Argentina,3
gulugulu,Australia,2
gulugulu,United States,2
gulugulu,United Kingdom,1
gulugulu,Thailand,1
didis,Lithuania,100
didis,Switzerland,31
didis,Georgia,19
didis,Austria,15
didis,Philippines,12
didis,Indonesia,10
didis,Bulgaria,8
didis,Germany,7
didis,South Africa,5
didis,United States,3
didis,Mexico,3
didis,Sweden,2
didis,Spain,1
didis,United Kingdom,1
didis,Belgium,1
didis,Denmark,1
didis,India,1
didis,Netherlands,1
didis,Australia,1
didis,Brazil,1
didis,Malaysia,1
didis,Canada,1
bimyou,Japan,100
bimyou,Bangladesh,80
bimyou,Malaysia,72
bimyou,Spain,56
bimyou,United States,30
qualunquismo,Italy,100
qualunquismo,Switzerland,4
qualunquismo,Argentina,3
qualunquismo,Spain,1
qualunquismo,Russia,1
boketto,Philippines,100
boketto,Sweden,67
boketto,Indonesia,56
boketto,Chile,31
boketto,Spain,26
boketto,Japan,25
boketto,Australia,23
boketto,United States,23
boketto,Mexico,20
boketto,India,20
boketto,Canada,19
boketto,Turkey,15
boketto,United Kingdom,12
boketto,United Arab Emirates,10
boketto,Ireland,8
boketto,Argentina,4
boketto,Germany,4
boketto,France,2
philotimo,Greece,100
philotimo,Australia,19
philotimo,Morocco,10
philotimo,Canada,9
philotimo,Switzerland,7
philotimo,United States,6
philotimo,United Kingdom,6
philotimo,Germany,3
vorfreude,Germany,100
vorfreude,Austria,91
vorfreude,Switzerland,61
vorfreude,Singapore,5
vorfreude,Philippines,5
vorfreude,United Kingdom,3
vorfreude,Australia,3
vorfreude,Italy,2
vorfreude,Portugal,2
vorfreude,Spain,2
vorfreude,United States,2
vorfreude,India,2
vorfreude,France,1
vorfreude,Canada,1
vorfreude,Turkey,1
irusu,India,100
irusu,Vietnam,45
irusu,Slovakia,30
irusu,Spain,17
irusu,Italy,13
irusu,United Kingdom,9
irusu,Turkey,8
irusu,United States,6
irusu,Brazil,2
ellipsism,Philippines,100
ellipsism,Indonesia,81
ellipsism,Spain,52
ellipsism,Australia,42
ellipsism,United States,26
ellipsism,United Kingdom,22
ellipsism,Turkey,19
ellipsism,Brazil,16
ellipsism,Canada,12
goya,Spain,100
goya,Argentina,61
goya,Puerto Rico,31
goya,Denmark,28
goya,France,16
goya,Dominican Republic,12
goya,Lebanon,12
goya,Uruguay,11
goya,Belgium,11
goya,United States,7
goya,Mexico,6
goya,Italy,6
goya,Poland,6
goya,Colombia,6
goya,Chile,6
goya,Portugal,6
goya,Ecuador,6
goya,Switzerland,5
goya,Netherlands,5
goya,Peru,5
goya,Sweden,5
goya,Brazil,4
goya,Germany,4
goya,Philippines,4
goya,Venezuela,4
goya,Norway,4
goya,Czechia,4
goya,Pakistan,3
goya,Ireland,3
goya,United Kingdom,3
goya,Hungary,3
goya,Austria,3
goya,Canada,3
goya,Morocco,3
goya,Greece,3
goya,Romania,2
goya,Australia,2
goya,Israel,2
goya,Finland,2
goya,South Africa,2
goya,Turkey,2
goya,Indonesia,1
goya,India,1
goya,Vietnam,1
goya,Japan,1
liberosis,Singapore,100
liberosis,Philippines,92
liberosis,Indonesia,66
liberosis,India,50
liberosis,South Africa,40
liberosis,Turkey,39
liberosis,Chile,39
liberosis,Pakistan,36
liberosis,Spain,35
liberosis,Canada,33
liberosis,Malaysia,29
liberosis,United States,28
liberosis,Argentina,27
liberosis,Colombia,26
liberosis,Australia,22
liberosis,United Kingdom,22
liberosis,Mexico,16
liberosis,Vietnam,14
liberosis,Saudi Arabia,13
liberosis,Italy,12
liberosis,Peru,9
liberosis,Netherlands,8
liberosis,France,7
liberosis,Brazil,5
liberosis,Germany,4
liberosis,Poland,3
merienda,Uruguay,100
merienda,Paraguay,65
merienda,Philippines,50
merienda,Argentina,40
merienda,Spain,39
merienda,Ecuador,34
merienda,Honduras,27
merienda,Panama,24
merienda,Nicaragua,23
merienda,Dominican Republic,19
merienda,Costa Rica,18
merienda,Puerto Rico,15
merienda,Venezuela,14
merienda,Bolivia,12
merienda,Colombia,9
merienda,El Salvador,8
merienda,Guatemala,8
merienda,Mexico,8
merienda,Peru,6
merienda,Chile,5
merienda,United Arab Emirates,3
merienda,Singapore,2
merienda,United States,1
merienda,Malaysia,1
merienda,United Kingdom,1
merienda,Canada,1
merienda,Saudi Arabia,1
aesthete,Ireland,100
aesthete,New Zealand,69
aesthete,Singapore,55
aesthete,Philippines,48
aesthete,United Kingdom,39
aesthete,Australia,37
aesthete,United States,36
aesthete,South Africa,33
aesthete,Canada,28
aesthete,Croatia,27
aesthete,India,27
aesthete,Pakistan,26
aesthete,Romania,18
aesthete,United Arab Emirates,16
aesthete,Malaysia,13
aesthete,Egypt,9
aesthete,Thailand,8
aesthete,France,6
aesthete,Indonesia,6
aesthete,Sweden,6
aesthete,Italy,6
aesthete,Poland,6
aesthete,Russia,4
aesthete,Taiwan,4
aesthete,Germany,4
aesthete,Spain,3
aesthete,Ukraine,3
aesthete,Mexico,3
aesthete,Brazil,2
aesthete,Turkey,2
cafuné,Angola,100
cafuné,Portugal,85
cafuné,Brazil,74
cafuné,Venezuela,27
cafuné,Costa Rica,19
cafuné,Ecuador,18
cafuné,Colombia,14
cafuné,Chile,11
cafuné,Peru,11
cafuné,Bolivia,10
cafuné,Mexico,9
cafuné,Argentina,9
cafuné,Spain,7
cafuné,Denmark,2
cafuné,Belgium,2
cafuné,France,1
cafuné,Turkey,1
cafuné,United States,1
cafuné,Canada,1
cafuné,United Kingdom,1
cafuné,Germany,1
nakakapag,Philippines,100
retrouvailles,French Guiana,100
retrouvailles,New Caledonia,71
retrouvailles,Réunion,65
retrouvailles,Martinique,55
retrouvailles,Guadeloupe,54
retrouvailles,France,51
retrouvailles,Senegal,48
retrouvailles,Luxembourg,44
retrouvailles,Côte d’Ivoire,41
retrouvailles,Belgium,35
retrouvailles,Madagascar,33
retrouvailles,Tunisia,29
retrouvailles,Mauritius,27
retrouvailles,Morocco,26
retrouvailles,Cameroon,21
retrouvailles,Canada,19
retrouvailles,Algeria,17
retrouvailles,Switzerland,12
retrouvailles,Lebanon,6
retrouvailles,United Arab Emirates,3
retrouvailles,Portugal,2
retrouvailles,Ireland,1
retrouvailles,Spain,1
retrouvailles,Greece,1
retrouvailles,Israel,1
retrouvailles,Netherlands,1
retrouvailles,Indonesia,1
retrouvailles,Turkey,1
retrouvailles,Philippines,1
retrouvailles,Italy,1
retrouvailles,Australia,1
retrouvailles,United Kingdom,1
retrouvailles,Germany,1
utepils,Norway,100
utepils,United States,8
utepils,Spain,1
utepils,Turkey,1
utepils,Italy,1
kæk,Denmark,100
jaksaa,Finland,100
anteayer,Peru,100
anteayer,Guatemala,78
anteayer,Honduras,58
anteayer,Paraguay,56
anteayer,Costa Rica,43
anteayer,Spain,43
anteayer,El Salvador,35
anteayer,Colombia,34
anteayer,Ecuador,34
anteayer,Bolivia,33
anteayer,Panama,30
anteayer,Uruguay,29
anteayer,Venezuela,28
anteayer,Mexico,24
anteayer,Argentina,24
anteayer,Chile,22
anteayer,United States,3
anteayer,United Kingdom,1
anteayer,Italy,1
anteayer,Brazil,1
han,Vietnam,100
han,Honduras,13
han,Singapore,13
han,El Salvador,12
han,Ecuador,12
han,Nicaragua,12
han,Norway,11
han,Denmark,10
han,Guatemala,10
han,Panama,10
han,Spain,10
han,Colombia,10
han,South Korea,10
han,Sweden,9
han,Dominican Republic,9
han,Mexico,8
han,Peru,8
han,Costa Rica,7
han,Netherlands,7
han,Turkey,6
han,Puerto Rico,6
han,Pakistan,6
han,Malaysia,6
han,Venezuela,6
han,Chile,6
han,Philippines,5
han,Bolivia,4
han,Indonesia,4
han,Serbia,3
han,Belgium,3
han,Argentina,3
han,Hong Kong,3
han,Australia,2
han,United States,2
han,Taiwan,2
han,Switzerland,2
han,Canada,2
han,Bulgaria,2
han,New Zealand,2
han,China,1
han,Germany,1
han,India,1
han,Finland,1
han,Romania,1
han,Czechia,1
han,Thailand,1
han,Austria,1
han,United Kingdom,1
han,Hungary,1
han,France,1
han,Poland,1
han,Italy,1
han,Brazil,1
han,Japan,1
chandamama,India,100
chandamama,Qatar,21
chandamama,Bolivia,19
chandamama,United Arab Emirates,18
chandamama,Oman,17
chandamama,Kuwait,16
chandamama,Sri Lanka,9
chandamama,Singapore,8
chandamama,Pakistan,7
chandamama,Bangladesh,5
chandamama,Saudi Arabia,3
chandamama,United States,3
chandamama,Malaysia,3
chandamama,Australia,2
chandamama,Canada,1
chandamama,United Kingdom,1
tuerto,Argentina,100
tuerto,Uruguay,5
tuerto,Spain,3
tuerto,Paraguay,3
tuerto,Colombia,3
tuerto,Chile,2
tuerto,Mexico,2
tuerto,Venezuela,2
tuerto,Peru,2
tuerto,Bolivia,2
tuerto,Dominican Republic,2
tuerto,Ecuador,1
fuubutsushi,United States,100
buksvåger,Sweden,100
anima,Italy,100
anima,Romania,29
anima,Indonesia,25
anima,Venezuela,25
anima,Brazil,24
anima,Hungary,19
anima,Mexico,17
anima,Colombia,16
anima,Guatemala,15
anima,Philippines,14
anima,Spain,13
anima,Croatia,13
anima,Serbia,12
anima,Belgium,12
anima,Ecuador,11
anima,Switzerland,11
anima,Argentina,11
anima,Uruguay,11
anima,Costa Rica,11
anima,Bolivia,11
anima,Slovakia,10
anima,Portugal,10
anima,Greece,10
anima,Slovenia,10
anima,Chile,10
anima,Peru,10
anima,Poland,9
anima,Denmark,9
anima,Canada,9
anima,United States,9
anima,Dominican Republic,9
anima,Czechia,9
anima,Singapore,8
anima,Austria,8
anima,France,8
anima,Turkey,8
anima,Australia,7
anima,Morocco,7
anima,Finland,7
anima,Israel,7
anima,Nigeria,7
anima,Germany,7
anima,United Kingdom,7
anima,New Zealand,6
anima,Sweden,6
anima,South Africa,6
anima,Malaysia,6
anima,Norway,6
anima,Pakistan,5
anima,Ireland,5
